Part,Package,SMD_PAD,PadName,PadX,PadY,PadAngle,PadSizeX,PadsizeY
C1,0805-NO,SMD,1,21.463000,10.099000,90.000000,1.300000,1.500000
C1,0805-NO,SMD,2,21.463000,11.999000,90.000000,1.300000,1.500000
C2,0805-NO,SMD,1,18.730000,11.303000,180.000000,1.300000,1.500000
C2,0805-NO,SMD,2,16.830000,11.303000,180.000000,1.300000,1.500000
D1,SOD-123,SMD,+,19.431000,6.223000,0.000000,1.397000,1.397000
D1,SOD-123,SMD,-,16.129000,6.223000,0.000000,1.397000,1.397000
D2,SOD-123,SMD,+,19.431000,8.763000,0.000000,1.397000,1.397000
D2,SOD-123,SMD,-,16.129000,8.763000,0.000000,1.397000,1.397000
IC1,SO08-EIAJ,SMD,1,14.105800,17.514600,270.000000,0.609600,2.209800
IC1,SO08-EIAJ,SMD,2,14.105800,16.244600,270.000000,0.609600,2.209800
IC1,SO08-EIAJ,SMD,3,14.105800,14.974600,270.000000,0.609600,2.209800
IC1,SO08-EIAJ,SMD,4,14.105800,13.704600,270.000000,0.609600,2.209800
IC1,SO08-EIAJ,SMD,5,20.836800,13.704600,270.000000,0.609600,2.209800
IC1,SO08-EIAJ,SMD,6,20.836800,14.974600,270.000000,0.609600,2.209800
IC1,SO08-EIAJ,SMD,7,20.836800,16.244600,270.000000,0.609600,2.209800
IC1,SO08-EIAJ,SMD,8,20.836800,17.514600,270.000000,0.609600,2.209800
J1,1X02,PAD,1,14.460000,1.750000,,,
J1,1X02,PAD,2,11.920000,1.750000,,,
JP3,1X06,PAD,1,24.750000,4.250000,,,
JP3,1X06,PAD,2,24.750000,6.790000,,,
JP3,1X06,PAD,3,24.750000,9.330000,,,
JP3,1X06,PAD,4,24.750000,11.870000,,,
JP3,1X06,PAD,5,24.750000,14.410000,,,
JP3,1X06,PAD,6,24.750000,16.950000,,,
LED,CHIP-LED0805,SMD,A,25.053000,1.651000,90.000000,1.200000,1.200000
LED,CHIP-LED0805,SMD,C,22.953000,1.651000,90.000000,1.200000,1.200000
PWR,CHIP-LED0805,SMD,A,10.795000,17.687000,180.000000,1.200000,1.200000
PWR,CHIP-LED0805,SMD,C,10.795000,15.587000,180.000000,1.200000,1.200000
R1,M0805,SMD,1,13.904000,6.223000,180.000000,1.300000,1.600000
R1,M0805,SMD,2,12.004000,6.223000,180.000000,1.300000,1.600000
R2,M0805,SMD,1,13.904000,8.763000,180.000000,1.300000,1.600000
R2,M0805,SMD,2,12.004000,8.763000,180.000000,1.300000,1.600000
R3,M0805,SMD,1,18.730000,3.810000,180.000000,1.300000,1.600000
R3,M0805,SMD,2,16.830000,3.810000,180.000000,1.300000,1.600000
R4,M0805,SMD,1,13.904000,11.303000,180.000000,1.300000,1.600000
R4,M0805,SMD,2,12.004000,11.303000,180.000000,1.300000,1.600000
R5,M0805,SMD,1,18.989000,1.651000,0.000000,1.300000,1.600000
R5,M0805,SMD,2,20.889000,1.651000,0.000000,1.300000,1.600000
X1,USB-A-PCB,SMD,5V,4.800000,6.000000,0.000000,7.500000,1.500000
X1,USB-A-PCB,SMD,GND,4.800000,13.000000,0.000000,7.500000,1.500000
X1,USB-A-PCB,SMD,USB_M,5.300000,8.500000,0.000000,6.500000,1.000000
X1,USB-A-PCB,SMD,USB_P,5.300000,10.500000,0.000000,6.500000,1.000000
CORNER LL,,,,0.000000,0.000000,,,
CORNER UR,,,,26.500000,19.000000,,,
